graph_assertion_id,attack_id,first_seen_version
e5_llama::AnnoCTR::RAG::bosch_0__s0::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s11::T1199,T1199,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s30::T1583,T1583,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s32::T1033,T1033,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s32::T1589,T1589,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s32::T1592,T1592,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s33::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s34::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s37::T1190,T1190,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s1::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s12::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s13::T1046,T1046,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s20::T1571,T1571,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s4::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s6::T1112,T1112,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s7::T1055,T1055,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s9::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s9::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s12::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s12::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s13::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s14::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s16::T1573,T1573,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s20::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s21::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s4::T1083,T1083,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s5::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s7::T1497,T1497,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s10::T1106,T1106,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s17::T1620,T1620,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s19::T1573,T1573,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s20::T1140,T1140,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s27::T1055,T1055,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s27::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s33::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1574,T1574,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s9::T1620,T1620,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s10::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s15::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s16::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s17::T1041,T1041,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s19::T1041,T1041,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s2::T1620,T1620,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s21::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s4::T1005,T1005,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s6::T1041,T1041,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s8::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s9::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s11::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s12::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s17::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s17::T1583,T1583,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s19::T1497,T1497,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s20::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s24::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s25::T1033,T1033,v4.0
