graph_assertion_id,sentence_id,first_seen_version
e5_llama::AnnoCTR::RAG::bosch_0__s0::T1195,bosch_0__s0,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s11::T1199,bosch_0__s11,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s30::T1583,bosch_0__s30,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s32::T1033,bosch_0__s32,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s32::T1589,bosch_0__s32,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s32::T1592,bosch_0__s32,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s33::T1486,bosch_0__s33,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s34::T1189,bosch_0__s34,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s37::T1190,bosch_0__s37,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s1::T1195,bosch_10__s1,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s12::T1104,bosch_10__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s13::T1046,bosch_10__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s20::T1571,bosch_10__s20,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1059,bosch_10__s3,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1189,bosch_10__s3,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1608,bosch_10__s3,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s4::T1105,bosch_10__s4,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s6::T1112,bosch_10__s6,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s7::T1055,bosch_10__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s9::T1189,bosch_10__s9,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s9::T1608,bosch_10__s9,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s12::T1105,bosch_11__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s12::T1608,bosch_11__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s13::T1486,bosch_11__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s14::T1027,bosch_11__s14,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s16::T1573,bosch_11__s16,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s20::T1059,bosch_11__s20,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s21::T1486,bosch_11__s21,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s4::T1083,bosch_11__s4,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s5::T1027,bosch_11__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s7::T1497,bosch_11__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s10::T1106,bosch_12__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s17::T1620,bosch_12__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s19::T1573,bosch_12__s19,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s20::T1140,bosch_12__s20,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s27::T1055,bosch_12__s27,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s27::T1608,bosch_12__s27,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s33::T1105,bosch_12__s33,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1203,bosch_12__s6,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1204,bosch_12__s6,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1574,bosch_12__s6,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s9::T1620,bosch_12__s9,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s10::T1104,bosch_13__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s15::T1105,bosch_13__s15,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s16::T1104,bosch_13__s16,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s17::T1041,bosch_13__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s19::T1041,bosch_13__s19,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s2::T1620,bosch_13__s2,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s21::T1059,bosch_13__s21,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s4::T1005,bosch_13__s4,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s6::T1041,bosch_13__s6,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s8::T1059,bosch_13__s8,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s9::T1059,bosch_13__s9,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s11::T1059,bosch_14__s11,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s12::T1059,bosch_14__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s17::T1105,bosch_14__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s17::T1583,bosch_14__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s19::T1497,bosch_14__s19,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s20::T1104,bosch_14__s20,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s24::T1027,bosch_14__s24,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s25::T1033,bosch_14__s25,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s26::T1070,bosch_14__s26,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s28::T1204,bosch_14__s28,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s29::T1219,bosch_14__s29,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s3::T1105,bosch_14__s3,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s4::T1204,bosch_14__s4,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1027,bosch_14__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1033,bosch_14__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1195,bosch_14__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1606,bosch_14__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1608,bosch_14__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s7::T1059,bosch_14__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s7::T1203,bosch_14__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s7::T1204,bosch_14__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s8::T1059,bosch_14__s8,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s8::T1204,bosch_14__s8,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s9::T1059,bosch_14__s9,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s1::T1566,bosch_15__s1,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s11::T1102,bosch_15__s11,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s13::T1566,bosch_15__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s15::T1204,bosch_15__s15,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s16::T1189,bosch_15__s16,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s3::T1566,bosch_15__s3,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s5::T1204,bosch_15__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s8::T1204,bosch_15__s8,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s8::T1566,bosch_15__s8,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s9::T1114,bosch_15__s9,v4.0
