graph_version_id,import_batch_id
v1.0,ib_S1_gteqwen_llama
v2.0,ib_S1_gteqwen_llama
v2.0,ib_S2_e5_mistral
v3.0,ib_S1_gteqwen_llama
v3.0,ib_S2_e5_mistral
v3.0,ib_S3_gteqwen_mistral
v4.0,ib_S1_gteqwen_llama
v4.0,ib_S2_e5_mistral
v4.0,ib_S3_gteqwen_mistral
v4.0,ib_S0_e5_llama
v5.0,ib_S1_gteqwen_llama
v5.0,ib_S2_e5_mistral
v5.0,ib_S3_gteqwen_mistral
v5.0,ib_S0_e5_llama
v5.0,ib_S5_e5_phi35
v6.0,ib_S1_gteqwen_llama
v6.0,ib_S2_e5_mistral
v6.0,ib_S3_gteqwen_mistral
v6.0,ib_S0_e5_llama
v6.0,ib_S5_e5_phi35
v6.0,ib_S4_gteqwen_phi35
