attack_id,in_gold,first_seen_version
G0007,True,v1.0
G0010,True,v1.0
G0016,True,v1.0
G0034,True,v1.0
G0037,True,v1.0
G0047,True,v1.0
G0049,True,v1.0
G0080,True,v1.0
G0094,True,v1.0
G0099,True,v1.0
G0114,True,v1.0
G0120,True,v1.0
G0134,True,v1.0
S0013,True,v1.0
S0029,True,v1.0
S0070,True,v1.0
S0108,True,v1.0
S0115,True,v1.0
S0154,True,v1.0
S0266,True,v1.0
S0331,True,v1.0
S0332,True,v1.0
S0367,True,v1.0
S0368,True,v1.0
S0384,True,v1.0
S0385,True,v1.0
S0386,True,v1.0
S0447,True,v1.0
S0496,True,v1.0
S0534,True,v1.0
S0552,True,v1.0
S0575,True,v1.0
S0618,True,v1.0
S0638,True,v1.0
S0643,True,v1.0
S0650,True,v1.0
T1001,True,v1.0
T1003,True,v1.0
T1003.001,True,v1.0
T1005,True,v1.0
T1008,True,v1.0
T1010,False,v1.0
T1012,True,v1.0
T1014,False,v1.0
T1016,True,v1.0
T1018,True,v1.0
T1020,False,v1.0
T1021,True,v1.0
T1021.001,True,v1.0
T1027,True,v1.0
T1033,True,v1.0
T1036,True,v1.0
T1036.005,True,v1.0
T1037,False,v1.0
T1041,True,v1.0
T1046,True,v1.0
T1047,True,v1.0
T1048,True,v1.0
T1049,True,v1.0
T1053,True,v1.0
T1053.005,True,v1.0
T1055,True,v1.0
T1056,True,v1.0
T1056.001,True,v1.0
T1057,True,v1.0
T1059,True,v1.0
T1059.003,True,v1.0
T1068,True,v1.0
T1070,True,v1.0
T1070.004,True,v1.0
T1071,True,v1.0
T1071.001,True,v1.0
T1072,True,v1.0
T1074,True,v1.0
T1074.001,True,v1.0
T1078,True,v1.0
T1082,True,v1.0
T1083,True,v1.0
T1087,True,v1.0
T1090,True,v1.0
T1095,True,v1.0
T1098,True,v1.0
T1102,True,v1.0
T1104,False,v1.0
T1105,True,v1.0
T1106,True,v1.0
T1110,True,v1.0
T1111,True,v1.0
T1112,True,v1.0
T1113,True,v1.0
T1114,True,v1.0
T1115,True,v1.0
T1119,False,v1.0
T1123,False,v1.0
T1124,True,v1.0
T1125,True,v1.0
T1129,True,v1.0
T1132,True,v1.0
T1134,True,v1.0
T1135,True,v1.0
T1136,False,v1.0
T1137,True,v1.0
T1140,True,v1.0
T1185,True,v1.0
T1189,True,v1.0
T1190,True,v1.0
T1195,True,v1.0
T1199,False,v1.0
T1203,True,v1.0
T1204,True,v1.0
T1204.002,True,v1.0
T1210,True,v1.0
T1211,False,v1.0
T1212,True,v1.0
T1213,True,v1.0
T1217,False,v1.0
T1218,True,v1.0
T1218.011,True,v1.0
T1219,True,v1.0
T1221,True,v1.0
T1222,False,v1.0
T1437,True,v1.0
T1482,True,v1.0
T1484,False,v1.0
T1484.001,True,v1.0
T1486,True,v1.0
T1489,False,v1.0
T1490,False,v1.0
T1491,True,v1.0
T1496,True,v1.0
T1497,True,v1.0
T1499,True,v1.0
T1505,False,v1.0
T1509,True,v1.0
T1518,True,v1.0
T1518.001,True,v1.0
T1528,True,v1.0
T1530,True,v1.0
T1537,True,v1.0
T1539,True,v1.0
T1543,False,v1.0
T1543.003,True,v1.0
T1546,True,v1.0
T1547,True,v1.0
T1547.001,True,v1.0
T1548,False,v1.0
T1548.002,True,v1.0
T1550,False,v1.0
T1552,True,v1.0
T1552.001,True,v1.0
T1553,False,v1.0
T1555,True,v1.0
T1556,False,v1.0
T1557,True,v1.0
T1557.001,False,v1.0
T1559,False,v1.0
T1560,True,v1.0
T1562,True,v1.0
T1562.001,True,v1.0
T1563,False,v1.0
T1564,True,v1.0
T1564.001,True,v1.0
T1565,False,v1.0
T1566,True,v1.0
T1566.001,True,v1.0
T1567,True,v1.0
T1568,True,v1.0
T1569,True,v1.0
T1569.002,True,v1.0
T1570,True,v1.0
T1571,False,v1.0
T1572,False,v1.0
T1573,True,v1.0
T1573.001,True,v1.0
T1574,True,v1.0
T1574.002,True,v1.0
T1580,True,v1.0
T1583,True,v1.0
T1584,True,v1.0
T1586,True,v1.0
T1587,False,v1.0
T1588,False,v1.0
T1589,True,v1.0
T1592,True,v1.0
T1594,False,v1.0
T1595,False,v1.0
T1598,True,v1.0
T1606,True,v1.0
T1608,True,v1.0
T1614,True,v1.0
T1620,True,v1.0
TA0001,True,v1.0
TA0002,True,v1.0
TA0003,True,v1.0
TA0004,True,v1.0
TA0005,True,v1.0
TA0006,True,v1.0
TA0007,True,v1.0
TA0008,True,v1.0
TA0009,True,v1.0
TA0010,True,v1.0
TA0011,True,v1.0
TA0043,True,v1.0
