llm_run_id,extraction_setup_id,dataset,method,seed,original_seed,source_file,import_batch_id,first_seen_version
e5_llama__AnnoCTR__RAG__seed0,e5_llama,AnnoCTR,RAG,0,0,AnnoCTR_RAG_seed0_setup0_e5_llama_seed0_20260526_144849.jsonl,ib_S0_e5_llama,v4.0
e5_llama__AnnoCTR__RAG__seed1,e5_llama,AnnoCTR,RAG,1,1,AnnoCTR_RAG_seed1_setup0_e5_llama_seed1_20260526_165655.jsonl,ib_S0_e5_llama,v4.0
e5_llama__AnnoCTR__RAG__seed2,e5_llama,AnnoCTR,RAG,2,2,AnnoCTR_RAG_seed2_setup0_e5_llama_seed2_20260526_183039.jsonl,ib_S0_e5_llama,v4.0
e5_llama__AnnoCTR__RAG+FSP__seed0,e5_llama,AnnoCTR,RAG+FSP,0,0,AnnoCTR_RAG_FSP_seed0_setup0_e5_llama_seed0_20260526_144849.jsonl,ib_S0_e5_llama,v4.0
e5_llama__AnnoCTR__RAG+FSP__seed1,e5_llama,AnnoCTR,RAG+FSP,1,1,AnnoCTR_RAG_FSP_seed1_setup0_e5_llama_seed1_20260526_165655.jsonl,ib_S0_e5_llama,v4.0
e5_llama__AnnoCTR__RAG+FSP__seed2,e5_llama,AnnoCTR,RAG+FSP,2,2,AnnoCTR_RAG_FSP_seed2_setup0_e5_llama_seed2_20260526_183039.jsonl,ib_S0_e5_llama,v4.0
e5_llama__TRAM2__RAG__seed0,e5_llama,TRAM2,RAG,0,0,TRAM2_RAG_seed0_setup0_e5_llama_seed0_20260526_144849.jsonl,ib_S0_e5_llama,v4.0
e5_llama__TRAM2__RAG__seed1,e5_llama,TRAM2,RAG,1,1,TRAM2_RAG_seed1_setup0_e5_llama_seed1_20260526_165655.jsonl,ib_S0_e5_llama,v4.0
e5_llama__TRAM2__RAG__seed2,e5_llama,TRAM2,RAG,2,2,TRAM2_RAG_seed2_setup0_e5_llama_seed2_20260526_183039.jsonl,ib_S0_e5_llama,v4.0
e5_llama__TRAM2__RAG+FSP__seed0,e5_llama,TRAM2,RAG+FSP,0,0,TRAM2_RAG_FSP_seed0_setup0_e5_llama_seed0_20260526_144849.jsonl,ib_S0_e5_llama,v4.0
e5_llama__TRAM2__RAG+FSP__seed1,e5_llama,TRAM2,RAG+FSP,1,1,TRAM2_RAG_FSP_seed1_setup0_e5_llama_seed1_20260526_165655.jsonl,ib_S0_e5_llama,v4.0
e5_llama__TRAM2__RAG+FSP__seed2,e5_llama,TRAM2,RAG+FSP,2,2,TRAM2_RAG_FSP_seed2_setup0_e5_llama_seed2_20260526_183039.jsonl,ib_S0_e5_llama,v4.0
e5_mistral__AnnoCTR__RAG__seed0,e5_mistral,AnnoCTR,RAG,0,0,AnnoCTR_RAG_seed0_mistral_e5_seed0_20260525_221207.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__AnnoCTR__RAG__seed1,e5_mistral,AnnoCTR,RAG,1,1,AnnoCTR_RAG_seed1_mistral_e5_seed1_20260526_071008.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__AnnoCTR__RAG__seed2,e5_mistral,AnnoCTR,RAG,2,2,AnnoCTR_RAG_seed2_mistral_e5_seed2_20260526_084518.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__AnnoCTR__RAG+FSP__seed0,e5_mistral,AnnoCTR,RAG+FSP,0,0,AnnoCTR_RAG_FSP_seed0_mistral_e5_ragfsp_seed0_20260526_102152.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__AnnoCTR__RAG+FSP__seed1,e5_mistral,AnnoCTR,RAG+FSP,1,1,AnnoCTR_RAG_FSP_seed1_mistral_e5_ragfsp_seed1_20260526_075103.jsonl,ib_S2_e5_mistral,v2.0
