"attack_id","name","stix_id"
"DS0014","Pod","x-mitre-data-source--06bb1e05-533b-4de3-ae87-9b99910465cf"
"DS0032","Container","x-mitre-data-source--072ec5a7-00ba-466f-9057-69751a22a967"
"DS0002","User Account","x-mitre-data-source--0b4f86ed-f4ab-46a3-8ed1-175be1974da6"
"DS0024","Windows Registry","x-mitre-data-source--0f42a24c-e035-4f93-a91c-5f7076bd8da0"
"DS0012","Script","x-mitre-data-source--12c1e727-7fa4-49b6-af81-366ed2ce231e"
"DS0007","Image","x-mitre-data-source--1ac0ca69-e07e-4b34-9061-e4588e146c52"
"DS0006","Web Credential","x-mitre-data-source--1e26f222-e27e-4bfa-830c-fa4b4f18b5e4"
"DS0023","Named Pipe","x-mitre-data-source--221adcd5-cccf-44df-9be6-ef607a6e1c3c"
"DS0037","Certificate","x-mitre-data-source--29aa4e0e-4a26-4f79-a9bc-1ae66df1c923"
"DS0005","WMI","x-mitre-data-source--2cd6cc81-d86e-4595-a4f0-43f5519f14e6"
"DS0010","Cloud Storage","x-mitre-data-source--2ce537a2-3b30-4374-9397-31d6460ec0bc"
"DS0035","Internet Scan","x-mitre-data-source--38fe306c-bdec-4f3d-8521-b72dd32dbd17"
"DS0021","Persona","x-mitre-data-source--3bef4799-906c-409c-ac00-3fb7a1e352e6"
"DS0036","Group","x-mitre-data-source--3c07684f-3794-4536-8f70-21efe700c0ec"
"DS0015","Application Log","x-mitre-data-source--40269753-26bd-437b-986e-159c66dec5e4"
"DS0028","Logon Session","x-mitre-data-source--4358c631-e253-4557-86df-f687d0ef9891"
"DS0030","Instance","x-mitre-data-source--45232bc0-e858-440d-aa93-d48c6cf167f0"
"DS0013","Sensor Health","x-mitre-data-source--4523e7f3-8de2-4078-96f8-1227eb537159"
"DS0022","File","x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9"
"DS0016","Drive","x-mitre-data-source--61bbbf27-f7c3-46ba-a6bc-48ae76928065"
"DS0020","Snapshot","x-mitre-data-source--6d7de3b7-283d-48f9-909c-60d123d9d768"
"DS0017","Command","x-mitre-data-source--73691708-ffb5-4e29-906d-f485f6fa7089"
"DS0008","Kernel","x-mitre-data-source--8765a845-dea1-4cd1-a56f-f54939b7ab9e"
"DS0027","Driver","x-mitre-data-source--9ec8c0d7-6137-456f-b829-c5f8b96ba054"
"DS0034","Volume","x-mitre-data-source--b0b6d26f-3747-4444-ac7a-239a6ff80cb5"
"DS0025","Cloud Service","x-mitre-data-source--b1ddede4-cafe-4955-ac4c-14b33ac3f647"
"DS0004","Malware Repository","x-mitre-data-source--b86d9b40-5fbe-4ef1-8dc3-263eff26f495"
"DS0033","Network Share","x-mitre-data-source--ba27545a-9c32-47ea-ba6a-cce50f1b326e"
"DS0029","Network Traffic","x-mitre-data-source--c000cd5c-bbb3-4606-af6f-6c6d9de0bbe3"
"DS0031","Cluster","x-mitre-data-source--c3af32ff-65c5-4ea8-912a-fb4a85197239"
"DS0003","Scheduled Job","x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883"
"DS0001","Firmware","x-mitre-data-source--ca1cb239-ff6d-4f64-b9d7-41c8556a8b4f"
"DS0026","Active Directory","x-mitre-data-source--d6188aac-17db-4861-845f-57c369f9b4c8"
"DS0019","Service","x-mitre-data-source--d710099e-df94-4be4-bf85-cabd30e912bb"
"DS0038","Domain Name","x-mitre-data-source--dd75f457-8dc0-4a24-9ae5-4b61c33af866"
"DS0009","Process","x-mitre-data-source--e8b8ede7-337b-4c0c-8c32-5c7872c1ee22"
"DS0018","Firewall","x-mitre-data-source--f2f4f4bd-3455-400f-b2ee-104004df0f5b"
"DS0011","Module","x-mitre-data-source--f424e4b4-a8a4-4c58-a4ae-4f53bfd08563"
"DS0042","User Interface","x-mitre-data-source--55ba7d30-887f-42c1-a24e-c4e90aff24b8"
"DS0041","Application Vetting","x-mitre-data-source--e156f007-c5bf-45cc-8dd5-d442ffb0d203"
"DS0040","Operational Databases","x-mitre-data-source--1b8c9f31-ad35-4850-bf8c-80c565ad3552"
"DS0039","Asset","x-mitre-data-source--b1717cb4-d536-4e2b-b5e5-07e67e26183c"
