"attack_id","name","stix_id"
"G0119","Indrik Spider","intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07"
"G1014","LuminousMoth","intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6"
"G1051","Medusa Group","intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb"
"G0102","Wizard Spider","intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7"
"G0066","Elderwood","intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484"
"G0101","Frankenstein","intrusion-set--6b1b551c-d770-4f95-8cfc-3cd253c4c04e"
"G0046","FIN7","intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc"
"G1048","UNC3886","intrusion-set--461b8e25-8f4a-4ea2-a4a8-e39df7ce6630"
"G1047","Velvet Ant","intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971"
"G0090","WIRTE","intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1"
"G1033","Star Blizzard","intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410"
"G0035","Dragonfly","intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1"
"G0099","APT-C-36","intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842"
"G0049","OilRig","intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d"
"G0020","Equation","intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9"
"G0117","Fox Kitten","intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee"
"G0032","Lazarus Group","intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a"
"G0143","Aquatic Panda","intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11"
"G1034","Daggerfly","intrusion-set--f3be6240-f68e-47e1-90d2-ad8f3b3bb8a6"
"G0139","TeamTNT","intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca"
"G0092","TA505","intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d"
