"attack_id","name","stix_id"
"M1031","Network Intrusion Prevention","course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c"
"M1016","Vulnerability Scanning","course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266"
"M1035","Limit Access to Resource Over Network","course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f"
"M1029","Remote Data Storage","course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea"
"M1037","Filter Network Traffic","course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d"
"M1021","Restrict Web-Based Content","course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96"
"M1033","Limit Software Installation","course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547"
"M1013","Application Developer Guidance","course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1"
"M1034","Limit Hardware Installation","course-of-action--2995bc22-2851-4345-ad19-4e7e295be264"
"M1017","User Training","course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a"
"M1052","User Account Control","course-of-action--2c2ad92a-d710-41ab-a996-1db143bb4808"
"M1028","Operating System Configuration","course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3"
"M1053","Data Backup","course-of-action--3efe43d1-6f3f-4fcb-ab39-4a730971f70b"
"M1038","Execution Prevention","course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db"
"M1043","Credential Access Protection","course-of-action--49c06d54-9002-491d-9147-8efb537fbd26"
"M1045","Code Signing","course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312"
"M1039","Environment Variable Permissions","course-of-action--609191bf-7d06-40e4-b1f8-9e11eb3ff8a6"
"M1057","Data Loss Prevention","course-of-action--65401701-019d-44ff-b223-08d520bb0e7b"
"M1025","Privileged Process Integrity","course-of-action--72dade3e-1cba-4182-b3b3-a77ca52f02a1"
"M1055","Do Not Mitigate","course-of-action--787fb64d-c87b-4ee5-a341-0ef17ec4c15c"
"M1056","Pre-compromise","course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc"
"M1020","SSL/TLS Inspection","course-of-action--7bb5fae9-53ad-4424-866b-f0ea2a8b731d"
"M1046","Boot Integrity","course-of-action--7da0387c-ba92-4553-b291-b636ee42b2eb"
"M1060","Out-of-Band Communications Channel","course-of-action--80a0e940-f683-4fbd-ac00-e9f935f2f808"
"M1030","Network Segmentation","course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c"
"M1019","Threat Intelligence Program","course-of-action--874c0166-e407-45c2-a1d9-e4e3a6570fd8"
"M1027","Password Policies","course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485"
"M1040","Behavior Prevention on Endpoint","course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46"
"M1018","User Account Management","course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317"
"M1022","Restrict File and Directory Permissions","course-of-action--987988f0-cf86-4680-a875-2f6456ab2448"
