"source_attack_id","relationship_type","target_attack_id"
"S0569","uses","T1016"
"M1021","mitigates","T1659"
"G0119","uses","T1003.001"
"S0615","uses","T1573.002"
"S0597","uses","T1016.001"
"S0154","uses","T1090.004"
"S0140","uses","T1124"
"S0339","uses","T1082"
"G1014","uses","T1539"
"G1051","uses","T1490"
"G0102","uses","T1136.001"
"S1081","uses","T1135"
"G0066","uses","S0012"
"S0270","uses","T1547.009"
"S0082","uses","T1547.001"
"S0386","uses","T1007"
"S1047","uses","T1071.001"
"M1056","mitigates","T1595"
"S1052","uses","T1027.013"
"G0046","uses","T1204.001"
"G1048","uses","T1027.005"
"M1037","mitigates","T1205.001"
"S1242","uses","T1027.013"
"M1054","mitigates","T1566.002"
"S0588","uses","T1053.005"
"S0385","uses","T1082"
"G1047","uses","S0013"
"S0164","uses","T1070.004"
"G0090","uses","T1059.001"
"S0449","uses","T1486"
"G1033","uses","T1684.001"
"S0565","uses","T1497.003"
"G0090","uses","T1571"
"S0447","uses","T1059.005"
"S0575","uses","T1021.002"
"S0069","uses","T1083"
"G1048","uses","T1681"
"T1552.006","subtechnique-of","T1552"
"S0192","uses","T1569.002"
"G0035","uses","T1560"
"S0373","uses","T1102.001"
"S0154","uses","T1548.003"
"G0102","uses","T1588.003"
"S0477","uses","T1071.004"
"S0136","uses","T1025"
"S0143","uses","T1091"
"M1026","mitigates","T1053.005"
"S0396","uses","T1106"
"S9020","uses","T1070.004"
"G0099","uses","S0385"
"M1018","mitigates","T1580"
"G0049","uses","S0189"
"G0020","uses","T1564.005"
"S9031","uses","T1113"
"S0094","uses","T1033"
"S0275","uses","T1071.001"
"S0344","uses","T1134.002"
"G0049","uses","T1588.003"
"G0117","uses","T1105"
"S0428","uses","T1033"
"M1035","mitigates","T1542"
"S0154","uses","T1553.002"
"G0032","uses","S0364"
"S0673","uses","T1614"
"S0678","uses","T1027.013"
"S0495","uses","T1071.001"
"M1027","mitigates","T1599.001"
"G0117","uses","T1059"
"G0090","uses","S0680"
"S1212","uses","T1059.001"
"S1085","uses","T1047"
"S1178","uses","T1124"
"S0396","uses","T1105"
"G0143","uses","T1027.010"
"S0664","uses","T1105"
"G1034","uses","T1003.002"
"S1111","uses","T1082"
"S0352","uses","T1027.013"
"S1172","uses","T1041"
"S1104","uses","T1556.004"
"G0139","uses","T1680"
"S0538","uses","T1560.001"
