"attack_id","name","is_subtechnique","kill_chain_phases","platforms","data_sources","stix_id","ontology_completeness"
"T1055.011","Extra Window Memory Injection","true","stealth|privilege-escalation","Windows","","attack-pattern--0042a9f5-f053-4769-b3ef-9ad018dfa298","stix_bundle_loaded"
"T1053.005","Scheduled Task","true","execution|persistence|privilege-escalation","Windows","","attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9","stix_bundle_loaded"
"T1205.002","Socket Filters","true","stealth|persistence|command-and-control","Linux|macOS|Windows","","attack-pattern--005cc321-08ce-4d17-b1ea-cb5275926520","stix_bundle_loaded"
"T1066","Indicator Removal from Tools","false","stealth","Linux|macOS|Windows","","attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6","stix_bundle_loaded"
"T1560.001","Archive via Utility","true","collection","Linux|macOS|Windows","","attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662","stix_bundle_loaded"
"T1021.005","VNC","true","lateral-movement","Linux|Windows|macOS","","attack-pattern--01327cde-66c4-4123-bf34-5f258d59457b","stix_bundle_loaded"
"T1047","Windows Management Instrumentation","false","execution","Windows","","attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055","stix_bundle_loaded"
"T1687","Exploitation for Defense Impairment","false","defense-impairment","IaaS|Linux|macOS|SaaS|Windows","","attack-pattern--01c9b54f-c04e-41ba-b0c3-cfe784b3a463","stix_bundle_loaded"
"T1156","Malicious Shell Modification","false","persistence","Linux|macOS","","attack-pattern--01df3350-ce05-4bdf-bdf8-0a919a66d4a8","stix_bundle_loaded"
"T1113","Screen Capture","false","collection","Linux|macOS|Windows","","attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688","stix_bundle_loaded"
"T1027.011","Fileless Storage","true","stealth","Linux|Windows","","attack-pattern--02c5abff-30bf-4703-ab92-1f6072fae939","stix_bundle_loaded"
"T1067","Bootkit","false","persistence","Linux|Windows","","attack-pattern--02fefddc-fb1b-423f-a76b-7552dd211d4d","stix_bundle_loaded"
"T1037","Boot or Logon Initialization Scripts","false","persistence|privilege-escalation","ESXi|Linux|macOS|Network Devices|Windows","","attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334","stix_bundle_loaded"
"T1557","Adversary-in-the-Middle","false","credential-access|collection","Linux|macOS|Network Devices|Windows","","attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d","stix_bundle_loaded"
"T1033","System Owner/User Discovery","false","discovery","Linux|macOS|Network Devices|Windows","","attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104","stix_bundle_loaded"
"T1583","Acquire Infrastructure","false","resource-development","PRE","","attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2","stix_bundle_loaded"
"T1218.011","Rundll32","true","stealth","Windows","","attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5","stix_bundle_loaded"
"T1613","Container and Resource Discovery","false","discovery","Containers","","attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336","stix_bundle_loaded"
"T1583.007","Serverless","true","resource-development","PRE","","attack-pattern--04a5a8ab-3bc8-4c83-95c9-55274a89786d","stix_bundle_loaded"
"T1143","Hidden Window","false","stealth","macOS|Windows","","attack-pattern--04ee0cb7-dac3-4c6c-9387-4c6aa096f4cf","stix_bundle_loaded"
"T1161","LC_LOAD_DYLIB Addition","false","persistence","macOS","","attack-pattern--04ef4356-8926-45e2-9441-634b6f3dcecb","stix_bundle_loaded"
"T1132.001","Standard Encoding","true","command-and-control","ESXi|Linux|macOS|Windows","","attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c","stix_bundle_loaded"
"T1027.009","Embedded Payloads","true","stealth","Linux|macOS|Windows","","attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1","stix_bundle_loaded"
"T1150","Plist Modification","false","stealth|persistence|privilege-escalation","macOS","","attack-pattern--06780952-177c-4247-b978-79c357fb311f","stix_bundle_loaded"
"T1556.003","Pluggable Authentication Modules","true","defense-impairment|persistence|credential-access","Linux|macOS","","attack-pattern--06c00069-771a-4d57-8ef5-d3718c1a8771","stix_bundle_loaded"
"T1578.004","Revert Cloud Instance","true","defense-impairment","IaaS","","attack-pattern--0708ae90-d0eb-4938-9a76-d0fc94f6eec1","stix_bundle_loaded"
"T1148","HISTCONTROL","false","stealth","Linux|macOS","","attack-pattern--086952c4-5b90-4185-b573-02bad8e11953","stix_bundle_loaded"
"T1592","Gather Victim Host Information","false","reconnaissance","PRE","","attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f","stix_bundle_loaded"
"T1596.003","Digital Certificates","true","reconnaissance","PRE","","attack-pattern--0979abf9-4e26-43ec-9b6e-54efc4e70fca","stix_bundle_loaded"
"T1056.001","Keylogging","true","collection|credential-access","Linux|macOS|Network Devices|Windows","","attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4","stix_bundle_loaded"
"T1564.012","File/Path Exclusions","true","stealth","Linux|macOS|Windows","","attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9","stix_bundle_loaded"
"T1222.002","Linux and Mac Permissions","true","defense-impairment","Linux|macOS","","attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345","stix_bundle_loaded"
"T1110.001","Password Guessing","true","credential-access","Containers|ESXi|IaaS|Identity Provider|Linux|macOS|Network Devices|Office Suite|SaaS|Windows","","attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119","stix_bundle_loaded"
"T1216.001","PubPrn","true","stealth","Windows","","attack-pattern--09cd431f-eaf4-4d2a-acaf-2a7acfe7ed58","stix_bundle_loaded"
"T1597.002","Purchase Technical Data","true","reconnaissance","PRE","","attack-pattern--0a241b6c-7bb2-48f9-98f7-128145b4d27f","stix_bundle_loaded"
"T1003","OS Credential Dumping","false","credential-access","Linux|macOS|Windows","","attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22","stix_bundle_loaded"
"T1129","Shared Modules","false","execution","Linux|macOS|Windows","","attack-pattern--0a5231ec-41af-4a35-83d0-6bdf11f28c65","stix_bundle_loaded"
"T1602","Data from Configuration Repository","false","collection","Network Devices","","attack-pattern--0ad7bc5c-235a-4048-944b-3b286676cb74","stix_bundle_loaded"
"T1561.002","Disk Structure Wipe","true","impact","Linux|macOS|Network Devices|Windows","","attack-pattern--0af0ca99-357d-4ba1-805f-674fdfb7bef9","stix_bundle_loaded"
"T1498.001","Direct Network Flood","true","impact","Windows|IaaS|Linux|macOS","","attack-pattern--0bda01d5-4c1d-4062-8ee2-6872334383c3","stix_bundle_loaded"
"T1492","Stored Data Manipulation","false","impact","Linux|macOS|Windows","","attack-pattern--0bf78622-e8d2-41da-a857-731472d61a92","stix_bundle_loaded"
"T1574.007","Path Interception by PATH Environment Variable","true","stealth|execution","Linux|macOS|Windows","","attack-pattern--0c2d00da-7742-49e7-9928-4514e5075d32","stix_bundle_loaded"
"T1213.002","Sharepoint","true","collection","Office Suite|Windows","","attack-pattern--0c4b4fda-9062-47da-98b9-ceae2dcf052a","stix_bundle_loaded"
"T1006","Direct Volume Access","false","stealth","Network Devices|Windows","","attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5","stix_bundle_loaded"
