"attack_id","name","stix_id"
"S0039","Net","tool--03342581-f790-4f03-ba41-e82e67392e23"
"S0592","RemoteUtilities","tool--03c6e0ea-96d3-4b23-9afb-05055663cf4b"
"S1155","Covenant","tool--05fb53c8-e2ac-4e17-a0c9-a0825e1198bf"
"S1131","NPPSPY","tool--0630d1a7-54da-4a48-a6af-eb8a62b13c17"
"S0521","BloodHound","tool--066b057c-944e-4cfc-b654-e3dfba04b926"
"S9002","Diskpart","tool--080f872e-f1a3-4d42-bb00-9eb55949f6a9"
"S0160","certutil","tool--0a68f1f1-da74-4d28-8d9a-696c082706cc"
"S0110","at","tool--0c8465c0-d0b4-4670-992e-4eee8d7ff952"
"S0116","UACMe","tool--102c3898-85e0-43ee-ae28-62a0a3ed9507"
"S0445","ShimRatReporter","tool--115f88dd-0618-4389-83cb-98d33ae81848"
"S0633","Sliver","tool--11f8d7eb-1927-4806-9267-3a11d4d4d6be"
"S0692","SILENTTRINITY","tool--1244e058-fa10-48cb-b484-0bcf671107ae"
"S0194","PowerSploit","tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d"
"S1091","Pacu","tool--1b3b8f96-43b1-4460-8e02-1f53d7802fb9"
"S9003","evilginx2","tool--1eb9627d-a661-4db6-bf53-41b7dcc63087"
"S0005","Windows Credential Editor","tool--242f3da3-4425-4d11-8f5c-b842886da966"
"S0357","Impacket","tool--26c87906-d750-42c5-946c-d4162c73fc7b"
"S0100","ipconfig","tool--294e2560-bd48-44b2-9da2-833b5588ad11"
"S0677","AADInternals","tool--2c5281dd-b5fd-4531-8aea-c1bf8a0f8756"
"S0057","Tasklist","tool--2e45723a-31da-4a7e-aaa6-e01998a6788f"
"S9017","DCRAT","tool--2f481072-e9f8-4452-be00-d1d7e43c2edc"
"S0508","ngrok","tool--2f7f03bb-f367-4a5a-ad9b-310a12a48906"
"S0121","Lslsass","tool--2fab555f-7664-4623-b4e0-1675ae38190b"
"S0099","Arp","tool--30489451-5886-4c46-90c9-0dff9adc5252"
"S0227","spwebmember","tool--33b9e38f-103c-412d-bdcf-904a91fff1e4"
"S0363","Empire","tool--3433a9e8-1c47-4320-b9bf-ed449061d1c3"
"S0101","ifconfig","tool--362dc67f-4e85-4562-9dac-1b6b7f3ec4b5"
"S1144","FRP","tool--36dd807e-b5bc-4c3e-91ed-80682360148c"
"S0105","dsquery","tool--38952eac-cb1b-4a71-bad2-ee8223a1c8fe"
"S1050","PcShare","tool--3a53b207-aba2-4a2b-9cdb-273d633669e7"
"S0364","RawDisk","tool--3ffbdc1f-d2bf-41ab-91a2-c7b857e98079"
"S0104","netstat","tool--4664b683-f578-434f-919b-1c1aad2a1111"
"S0378","PoshC2","tool--4b57c098-f043-4da2-83ef-7588a6d426bc"
"S0120","Fgdump","tool--4f45dfeb-fe51-4df0-8db3-edf7dd0513fe"
"S0123","xCmd","tool--4fa49fc0-9162-4bdb-a37e-7aa3dcb6d38b"
"S0527","CSPY Downloader","tool--5256c0f8-9108-4c92-8b09-482dfacdcd94"
"S1040","Rclone","tool--59096109-a1dd-463b-87e7-a8d110fe3a79"
"S0179","MimiPenguin","tool--5a33468d-844d-4b1f-98c9-0e786c556b27"
"S0108","netsh","tool--5a63f900-5e7e-4928-a746-dd4558e1df71"
"S0465","CARROTBALL","tool--5fc81b43-62b5-41b1-9113-c79ae5f030c4"
"S0190","BITSAdmin","tool--64764dc6-a032-495f-8250-1e4c06bdc163"
"S0175","meek","tool--65370d0b-3bd4-4653-8cf9-daf56f6be830"
"S1087","AsyncRAT","tool--6a5947f3-1a36-4653-8734-526df3e1d28d"
"S0684","ROADTools","tool--6dbdc657-d8e0-4f2f-909b-7251b3e72c6d"
"S1063","Brute Ratel C4","tool--75d8b521-6b6a-42ff-8af3-d97e20ce12a5"
"S9009","TruffleHog","tool--76f8a686-3157-481f-9af6-e8558883a8d6"
"S0683","Peirates","tool--79dd477a-8226-4b3d-ad15-28623675f221"
"S0332","Remcos","tool--7cd0bc75-055b-4098-a00e-83dc8beaff14"
"S0096","Systeminfo","tool--7fcbc4e8-1989-441f-9ac5-e7b6ff5806f1"
"S0594","Out1","tool--80c815bb-b24a-4b9c-9d73-ff4c075a278d"
"S0591","ConnectWise","tool--842976c7-f9c8-41b2-8371-41dc64fbe261"
"S1176","attrib","tool--8c6e9947-f7b1-4bd3-9d5d-cc7d39934989"
"S0434","Imminent Monitor","tool--8f8cd191-902c-4e83-bf20-b57c8c4640e9"
"S0358","Ruler","tool--90ac9266-68ce-46f2-b24f-5eb3b2a8ea38"
"S0193","Forfiles","tool--90ec2b22-7061-4469-b539-0989ec4f96c2"
"S0191","Winexe","tool--96fd6cc4-a693-4118-83ec-619e5352d07d"
"S0500","MCMD","tool--975737f1-b10d-476f-8bda-3ec26ea57172"
"S0359","Nltest","tool--981acc4c-2ede-4b56-be6e-fa1a75f37acf"
"S0413","MailSniper","tool--999c4e6e-b8dc-4b4f-8d6e-1b829f29997e"
"S0225","sqlmap","tool--9a2640c2-9f43-46fe-b13f-bde881e55555"
"S0006","pwdump","tool--9de2308e-7bed-43a3-8e58-f194b3586700"
"S0174","Responder","tool--a1dd2dbd-1550-44bf-abcc-1a4c52e97719"
"S0122","Pass-The-Hash Toolkit","tool--a52edc76-328d-4596-85e7-d56ef5a9eb69"
"S0695","Donut","tool--a7b5df47-73bb-4d47-b701-869f185633a6"
"S0002","Mimikatz","tool--afc079f3-c0ea-4096-b75d-3f05338b7f60"
"S0008","gsecdump","tool--b07c2c47-fefb-4d7c-a69e-6a3296171f54"
"S0581","IronNetInjector","tool--b1595ddd-a783-482a-90e1-8afc8d48467e"
"S0102","nbtstat","tool--b35068ec-107a-4266-bda8-eb7036267aea"
"S0231","Invoke-PSImage","tool--b52d6583-14a2-4ddc-8527-87fd2142558f"
"S0590","NBTscan","tool--b63970b7-ddfb-4aee-97b1-80d335e033a8"
"S0349","LaZagne","tool--b76b2d94-60e4-4107-a903-4a3a7622fb3b"
"S0097","Ping","tool--b77b563c-34bb-4fb8-86a3-3694338f7b47"
"S0106","cmd","tool--bba595da-b73a-4354-aa6c-224d4de7cb4e"
"S0103","route","tool--c11ac61d-50f4-444f-85d8-6f006067f0de"
"S0404","esentutl","tool--c256da91-6dd5-40b2-beeb-ee3b22ab3d27"
"S0488","CrackMapExec","tool--c4810609-7da6-48ec-8057-1b70a7814db0"
"S0250","Koadic","tool--c8655260-9f4b-44e3-85e1-6538a5f6e4f4"
"S0111","schtasks","tool--c9703cd3-141c-43a0-a926-380082be5d04"
"S0119","Cachedump","tool--c9cd7ec9-40b7-49db-80be-1399eddd9c52"
"S0361","Expand","tool--ca656c25-44f1-471b-9d9f-e2a3bbb84973"
"S0192","Pupy","tool--cb69b20d-56d0-41ab-8440-4a4b251614d4"
"S0075","Reg","tool--cde2d700-9ed1-46cf-9bce-07364fe8b24f"
"S0095","ftp","tool--cf23bf4a-e003-4116-bbae-1ea6c558d565"
"S0699","Mythic","tool--d505fc8b-2e64-46eb-96d6-9ef7ffca5b66"
"S0040","HTRAN","tool--d5e96a35-7b0b-4c6a-9533-d63ecbda563e"
"S0195","SDelete","tool--d8d19e33-94fd-4aa3-b94a-08ee801a2153"
"S0262","QuasarRAT","tool--da04ac30-27da-4959-a67d-450ce47d9470"
"S1205","cipher.exe","tool--da66959d-9875-4fde-bfed-11111a55895e"
"S1071","Rubeus","tool--e33267fe-099f-4af2-8730-63d49f8813b2"
"S0183","Tor","tool--ed7d0cb1-87a6-43b4-9f46-ef1bc56d6c68"
"S0552","AdFind","tool--f59508a6-3615-47c3-b493-6676e1a39a87"
"S0645","Wevtutil","tool--f91162cc-1686-4ff8-8115-bf3f61a4cc7a"
"S0224","Havij","tool--fbd727ea-c0dc-42a9-8448-9e12962d1ab5"
"S1209","Quick Assist","tool--fcdb30de-5449-4777-a4f4-922e71f65932"
