"malont_iri","label","kind","comment","completeness","source_file","ontology_format","loaded_at"
"http://idea.rpi.edu/malont#Address","IPAddress","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Adware","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Amplification","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Anonymization","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Application","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#AttackPattern","AttackPattern","owl:Class","Attack Pattern is the way  of  performing  an  attack  that  takes  advantage  of  specific  vulnerabilities  in  a  certain  environment. It uses Tactics, Techniques, and Procedures (TTPs) of the adversaries attempt to compromise targets. Example CAPAC[604] = Wi-Fi Jamming.\n\nOther Examples include - Phishing, Exfiltration, Anonymization etc.","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#AttackPattern_LargeDescription","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#AttackPattern_SmallDescription","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Backdoor","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Bootkit","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Bot","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Botnet","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Browser","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Campaign","Campaign","owl:Class","A grouping of adversarial behaviors that describes a set of malicious activities or attacks (sometimes called waves) that occur over a period of time against a specific set of targets.\n\nExample:\n{\n  'type': 'campaign',\n  'spec_version': '2.1',\n  'id': 'campaign--8e2e2d2b-17d4-4cbf-938f-98ee46b3cd3f',\n  'created_by_ref': 'identity--f431f809-377b-45e0-aa1c-6a4751cae5ff',\n  'created': '2016-04-06T20:03:00.000Z',\n  'modified': '2016-04-06T20:03:00.000Z',\n  'name': 'Green Group Attacks Against Finance',\n  'description': 'Campaign by Green Group against a series of targets in the financial services sector.'\n}\n\n\n- Adapted from STIX 2.1\n- Added 06/2021\n- MalONT v2.0","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#CommandAndControl","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Country","Country","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#DDoS","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#DomainName","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
