"relation_id","source_iri","relationship_type","target_iri","source_file","ontology_format","loaded_at"
"malontrel::43eee7adeb34a21a1dc70510","http://idea.rpi.edu/malont#Address","rdfs:subClassOf","http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Indicator","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::ab977b4b1116bc6e546df622","http://idea.rpi.edu/malont#Adware","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::e5458a252186dc2bef2d7af1","http://idea.rpi.edu/malont#Amplification","rdfs:subClassOf","http://idea.rpi.edu/malont#Infrastructure","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::25f7f83a95c05d4dfd5ae538","http://idea.rpi.edu/malont#Anonymization","rdfs:subClassOf","http://idea.rpi.edu/malont#Infrastructure","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::bf8cd6994dbaa597ce2407d4","http://idea.rpi.edu/malont#Application","rdfs:subClassOf","http://idea.rpi.edu/malont#Software","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::f17e4394c902cf5313b9ddde","http://idea.rpi.edu/malont#AttackPattern_LargeDescription","rdfs:subClassOf","http://idea.rpi.edu/malont#AttackPattern","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::afe90c7dd4ab2fad58d2db1b","http://idea.rpi.edu/malont#AttackPattern_SmallDescription","rdfs:subClassOf","http://idea.rpi.edu/malont#AttackPattern","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::846fb84499c5e7ab49fb46ba","http://idea.rpi.edu/malont#Backdoor","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::e912027ab5ea1309326fbe19","http://idea.rpi.edu/malont#Bootkit","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::be3faf993c483203502350bd","http://idea.rpi.edu/malont#Bot","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::fe991000fe54bbd3283895f5","http://idea.rpi.edu/malont#Botnet","rdfs:subClassOf","http://idea.rpi.edu/malont#Infrastructure","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::17d21b7b5adef612ba780143","http://idea.rpi.edu/malont#Browser","rdfs:subClassOf","http://idea.rpi.edu/malont#Software","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
