setup,dataset,method,seed,pred_path,metrics_path,f1,precision,recall,n_sentences,gen_time_s,total_time_s,wall_time_s,sharded,num_shards
e5_llama,AnnoCTR,RAG,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed0_setup0_e5_llama_seed0_20260526_144849.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed0_setup0_e5_llama_seed0_20260526_144849.json,0.3975269397339431,0.39665538709656356,0.4964802891466978,1483,1546.686505317688,1736.4051721096039,,False,1
e5_llama,AnnoCTR,RAG,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed1_setup0_e5_llama_seed1_20260526_165655.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed1_setup0_e5_llama_seed1_20260526_165655.json,0.3975269397339431,0.39665538709656356,0.4964802891466978,1483,1526.984764099121,1893.2766363620758,,False,1
e5_llama,AnnoCTR,RAG,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed2_setup0_e5_llama_seed2_20260526_183039.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed2_setup0_e5_llama_seed2_20260526_183039.json,0.3975269397339431,0.39665538709656356,0.4964802891466978,1483,2005.1267983913422,2198.340270280838,,False,1
e5_llama,AnnoCTR,RAG+FSP,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_FSP_seed0_setup0_e5_llama_seed0_20260526_144849.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_FSP_seed0_setup0_e5_llama_seed0_20260526_144849.json,0.3488882116386214,0.5354575163398693,0.2848845813629095,1483,1276.31591629982,1467.0995144844055,,False,1
e5_llama,AnnoCTR,RAG+FSP,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_FSP_seed1_setup0_e5_llama_seed1_20260526_165655.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_FSP_seed1_setup0_e5_llama_seed1_20260526_165655.json,0.3488882116386214,0.5354575163398693,0.2848845813629095,1483,1269.1037368774414,1635.9227001667023,,False,1
e5_llama,AnnoCTR,RAG+FSP,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_FSP_seed2_setup0_e5_llama_seed2_20260526_183039.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_FSP_seed2_setup0_e5_llama_seed2_20260526_183039.json,0.3488882116386214,0.5354575163398693,0.2848845813629095,1483,1570.2133629322052,1763.0877006053925,,False,1
e5_llama,TRAM2,RAG,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed0_setup0_e5_llama_seed0_20260526_144849.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed0_setup0_e5_llama_seed0_20260526_144849.json,0.49864225522375055,0.37856132706085144,0.8605865924082243,3820,4115.756228208542,4565.629880189896,,False,1
e5_llama,TRAM2,RAG,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed1_setup0_e5_llama_seed1_20260526_165655.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed1_setup0_e5_llama_seed1_20260526_165655.json,0.49864225522375055,0.37856132706085144,0.8605865924082243,3820,4189.841656208038,4809.320549488068,,False,1
e5_llama,TRAM2,RAG,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed2_setup0_e5_llama_seed2_20260526_183039.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed2_setup0_e5_llama_seed2_20260526_183039.json,0.49864225522375055,0.37856132706085144,0.8605865924082243,3820,6284.60573720932,6746.383699417114,,False,1
e5_llama,TRAM2,RAG+FSP,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_FSP_seed0_setup0_e5_llama_seed0_20260526_144849.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_FSP_seed0_setup0_e5_llama_seed0_20260526_144849.json,0.5272886506390326,0.44750453011189056,0.7096661245143219,3820,3839.2176468372345,4294.955614089966,,False,1
e5_llama,TRAM2,RAG+FSP,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_FSP_seed1_setup0_e5_llama_seed1_20260526_165655.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_FSP_seed1_setup0_e5_llama_seed1_20260526_165655.json,0.5272886506390326,0.44750453011189056,0.7096661245143219,3820,3759.2701573371887,4376.580040931702,,False,1
e5_llama,TRAM2,RAG+FSP,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_FSP_seed2_setup0_e5_llama_seed2_20260526_183039.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_FSP_seed2_setup0_e5_llama_seed2_20260526_183039.json,0.5272886506390326,0.44750453011189056,0.7096661245143219,3820,5704.262070178986,6165.7846159935,,False,1
e5_mistral,AnnoCTR,RAG,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed0_mistral_e5_seed0_20260525_221207.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed0_mistral_e5_seed0_20260525_221207.json,0.3945754953253798,0.33961057319929355,0.5549729810952722,1483,614.1953620910645,787.7625279426575,,False,1
e5_mistral,AnnoCTR,RAG,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed1_mistral_e5_seed1_20260526_071008.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed1_mistral_e5_seed1_20260526_071008.json,0.3945754953253798,0.33961057319929355,0.5549729810952722,1483,621.6666896343231,938.1783196926117,,False,1
e5_mistral,AnnoCTR,RAG,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed2_mistral_e5_seed2_20260526_084518.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed2_mistral_e5_seed2_20260526_084518.json,0.3945754953253798,0.33961057319929355,0.5549729810952722,1483,1465.672119140625,1653.1224911212921,,False,1
e5_mistral,AnnoCTR,RAG+FSP,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_FSP_seed0_mistral_e5_ragfsp_seed0_20260526_102152.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_FSP_seed0_mistral_e5_ragfsp_seed0_20260526_102152.json,0.404117196886663,0.347349302786154,0.587113073974529,1483,1039.4168837070465,1217.606993675232,,False,1
e5_mistral,AnnoCTR,RAG+FSP,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_FSP_seed1_mistral_e5_ragfsp_seed1_20260526_075103.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_FSP_seed1_mistral_e5_ragfsp_seed1_20260526_075103.json,0.404117196886663,0.347349302786154,0.587113073974529,1483,1711.923679113388,1886.496325492859,,False,1
e5_mistral,AnnoCTR,RAG+FSP,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_FSP_seed2_mistral_e5_ragfsp_seed2_20260526_092432.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_FSP_seed2_mistral_e5_ragfsp_seed2_20260526_092432.json,0.404117196886663,0.347349302786154,0.587113073974529,1483,2345.541228055954,2521.0891766548157,,False,1
e5_mistral,TRAM2,RAG,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed0_mistral_e5_seed0_20260525_221207.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed0_mistral_e5_seed0_20260525_221207.json,0.5547205289112386,0.431413778901702,0.8973913641703015,3820,1883.862262248993,2319.7782547473907,,False,1
e5_mistral,TRAM2,RAG,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed1_mistral_e5_seed1_20260526_071008.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed1_mistral_e5_seed1_20260526_071008.json,0.5547205289112386,0.431413778901702,0.8973913641703015,3820,1875.3352522850037,2438.9427790641785,,False,1
e5_mistral,TRAM2,RAG,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed2_mistral_e5_seed2_20260526_084518.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed2_mistral_e5_seed2_20260526_084518.json,0.5547205289112386,0.431413778901702,0.8973913641703015,3820,1898.1330664157867,2348.8852200508118,,False,1
e5_mistral,TRAM2,RAG+FSP,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_FSP_seed0_mistral_e5_ragfsp_seed0_20260526_102152.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_FSP_seed0_mistral_e5_ragfsp_seed0_20260526_102152.json,0.5355440561543118,0.40416479011772805,0.9195687835251403,3820,2837.638918876648,3273.318534374237,,False,1
