outcome,dataset,method,retriever,generator,value_mean,value_std,n_seeds
set_scope,AnnoCTR,RAG,E5,Llama,87.0,0.0,3
set_scope,AnnoCTR,RAG+FSP,E5,Llama,58.0,0.0,3
set_scope,TRAM2,RAG,E5,Llama,50.0,0.0,3
set_scope,TRAM2,RAG+FSP,E5,Llama,48.0,0.0,3
set_scope,AnnoCTR,RAG,E5,Mistral,92.0,0.0,3
set_scope,AnnoCTR,RAG+FSP,E5,Mistral,92.0,0.0,3
set_scope,TRAM2,RAG,E5,Mistral,50.0,0.0,3
set_scope,TRAM2,RAG+FSP,E5,Mistral,50.0,0.0,3
set_scope,AnnoCTR,RAG,E5,Phi-3.5,59.0,0.0,3
set_scope,AnnoCTR,RAG+FSP,E5,Phi-3.5,76.0,0.0,3
set_scope,TRAM2,RAG,E5,Phi-3.5,49.0,0.0,3
set_scope,TRAM2,RAG+FSP,E5,Phi-3.5,50.0,0.0,3
set_scope,AnnoCTR,RAG,GTE-Qwen2,Llama,88.0,0.0,3
set_scope,AnnoCTR,RAG+FSP,GTE-Qwen2,Llama,75.0,0.0,3
set_scope,TRAM2,RAG,GTE-Qwen2,Llama,50.0,0.0,3
set_scope,TRAM2,RAG+FSP,GTE-Qwen2,Llama,50.0,0.0,3
set_scope,AnnoCTR,RAG,GTE-Qwen2,Mistral,102.0,0.0,3
set_scope,AnnoCTR,RAG+FSP,GTE-Qwen2,Mistral,100.0,0.0,3
set_scope,TRAM2,RAG,GTE-Qwen2,Mistral,50.0,0.0,3
set_scope,TRAM2,RAG+FSP,GTE-Qwen2,Mistral,50.0,0.0,3
set_scope,AnnoCTR,RAG,GTE-Qwen2,Phi-3.5,69.0,0.0,3
set_scope,AnnoCTR,RAG+FSP,GTE-Qwen2,Phi-3.5,78.0,0.0,3
set_scope,TRAM2,RAG,GTE-Qwen2,Phi-3.5,48.0,0.0,3
set_scope,TRAM2,RAG+FSP,GTE-Qwen2,Phi-3.5,50.0,0.0,3
between_family_disagreement_rate,TRAM2,RAG,E5,Llama,0.4511621166791324,0.002704749439042642,1
between_family_disagreement_rate,TRAM2,RAG,E5,Mistral,0.43032566691598106,0.023541199202193996,1
between_family_disagreement_rate,TRAM2,RAG,E5,Phi-3.5,0.4276209174769384,0.020836449763151355,1
between_family_disagreement_rate,TRAM2,RAG,GTE-Qwen2,Llama,0.4513829157317377,0.0012302106706556792,1
between_family_disagreement_rate,TRAM2,RAG,GTE-Qwen2,Mistral,0.4471386499626029,0.005474476439790571,1
between_family_disagreement_rate,TRAM2,RAG,GTE-Qwen2,Phi-3.5,0.4459084392919472,0.004244265769134892,1
between_family_disagreement_rate,TRAM2,RAG+FSP,E5,Llama,0.4144971640488656,0.07366819371727748,1
between_family_disagreement_rate,TRAM2,RAG+FSP,E5,Mistral,0.48579515706806287,0.002370200698080277,1
between_family_disagreement_rate,TRAM2,RAG+FSP,E5,Phi-3.5,0.41212696335078536,0.0712979930191972,1
between_family_disagreement_rate,TRAM2,RAG+FSP,GTE-Qwen2,Llama,0.431223510346547,0.055294190974819246,1
between_family_disagreement_rate,TRAM2,RAG+FSP,GTE-Qwen2,Mistral,0.486398030416355,0.00011967090501122102,1
between_family_disagreement_rate,TRAM2,RAG+FSP,GTE-Qwen2,Phi-3.5,0.43110383944153574,0.055174520069808025,1
between_family_disagreement_rate,AnnoCTR,RAG,E5,Llama,0.37842773657001577,0.0639750505731625,1
between_family_disagreement_rate,AnnoCTR,RAG,E5,Mistral,0.45008990784445946,0.007687120701281219,1
between_family_disagreement_rate,AnnoCTR,RAG,E5,Phi-3.5,0.386114857271297,0.07166217127444371,1
between_family_disagreement_rate,AnnoCTR,RAG,GTE-Qwen2,Llama,0.3790795684423466,0.02855135985614743,1
between_family_disagreement_rate,AnnoCTR,RAG,GTE-Qwen2,Mistral,0.4410373117554507,0.03340638345695665,1
between_family_disagreement_rate,AnnoCTR,RAG,GTE-Qwen2,Phi-3.5,0.41248595189930326,0.06195774331310408,1
between_family_disagreement_rate,AnnoCTR,RAG+FSP,E5,Llama,0.34204315576534056,0.11676781299168354,1
between_family_disagreement_rate,AnnoCTR,RAG+FSP,E5,Mistral,0.47103281636322775,0.01222184760620365,1
between_family_disagreement_rate,AnnoCTR,RAG+FSP,E5,Phi-3.5,0.3542650033715442,0.1289896605978872,1
between_family_disagreement_rate,AnnoCTR,RAG+FSP,GTE-Qwen2,Llama,0.3637278040008991,0.0877669139132389,1
between_family_disagreement_rate,AnnoCTR,RAG+FSP,GTE-Qwen2,Mistral,0.45872668015284335,0.007231962238705342,1
between_family_disagreement_rate,AnnoCTR,RAG+FSP,GTE-Qwen2,Phi-3.5,0.3709597662396044,0.09499887615194424,1
