setup,dataset,method,set_scope_mean,set_scope_std,n_seeds_obs,f1_mean,f1_std,gen_time_s_mean,n_seeds_metrics,n_sentences,family_retriever,family_generator
e5_llama,AnnoCTR,RAG,87.0,0.0,3,0.3975269397339431,0.0,1692.9326892693837,3,1483,E5,Llama
e5_llama,AnnoCTR,RAG+FSP,58.0,0.0,3,0.3488882116386214,0.0,1371.8776720364888,3,1483,E5,Llama
e5_llama,TRAM2,RAG,50.0,0.0,3,0.49864225522375055,0.0,4863.401207208633,3,3820,E5,Llama
e5_llama,TRAM2,RAG+FSP,48.0,0.0,3,0.5272886506390326,0.0,4434.249958117803,3,3820,E5,Llama
e5_mistral,AnnoCTR,RAG,92.0,0.0,3,0.3945754953253798,0.0,900.5113902886709,3,1483,E5,Mistral
e5_mistral,AnnoCTR,RAG+FSP,92.0,0.0,3,0.404117196886663,0.0,1698.9605969587963,3,1483,E5,Mistral
e5_mistral,TRAM2,RAG,50.0,0.0,3,0.5547205289112386,0.0,1885.7768603165944,3,3820,E5,Mistral
e5_mistral,TRAM2,RAG+FSP,50.0,0.0,3,0.5355440561543118,0.0,2827.050164937973,3,3820,E5,Mistral
e5_phi35,AnnoCTR,RAG,59.0,0.0,3,0.2891958382413326,0.0,3218.8520617485046,3,1483,E5,Phi-3.5
e5_phi35,AnnoCTR,RAG+FSP,76.0,0.0,3,0.30129283001840984,0.0,2753.8001080354056,3,1483,E5,Phi-3.5
e5_phi35,TRAM2,RAG,49.0,0.0,3,0.43899354769789484,0.0,9502.650103236514,3,3820,E5,Phi-3.5
e5_phi35,TRAM2,RAG+FSP,50.0,0.0,3,0.5147948196393342,0.0,8642.22843221982,3,3820,E5,Phi-3.5
gteqwen_llama,AnnoCTR,RAG,88.0,0.0,3,0.42461369859093806,0.0,1386.6324461301167,3,1483,GTE-Qwen2,Llama
gteqwen_llama,AnnoCTR,RAG+FSP,75.0,0.0,3,0.37288371098489853,0.0,1262.4246656099956,3,1483,GTE-Qwen2,Llama
gteqwen_llama,TRAM2,RAG,50.0,0.0,3,0.535222753001099,0.0,4492.7351541519165,3,3820,GTE-Qwen2,Llama
gteqwen_llama,TRAM2,RAG+FSP,50.0,0.0,3,0.5321083508921692,0.0,4113.765170256297,3,3820,GTE-Qwen2,Llama
gteqwen_mistral,AnnoCTR,RAG,102.0,0.0,3,0.4099829118307079,0.0,782.1265602111816,3,1483,GTE-Qwen2,Mistral
gteqwen_mistral,AnnoCTR,RAG+FSP,100.0,0.0,3,0.40313466740564485,0.0,1298.0568962891896,3,1483,GTE-Qwen2,Mistral
gteqwen_mistral,TRAM2,RAG,50.0,0.0,3,0.53320380905081,0.0,3571.3746405442557,3,3820,GTE-Qwen2,Mistral
gteqwen_mistral,TRAM2,RAG+FSP,50.0,0.0,3,0.5301984946229692,0.0,3997.3259523709617,3,3820,GTE-Qwen2,Mistral
gteqwen_phi35,AnnoCTR,RAG,69.0,0.0,3,0.2591358907690177,0.0,2603.7710017585746,3,1483,GTE-Qwen2,Phi-3.5
gteqwen_phi35,AnnoCTR,RAG+FSP,78.0,0.0,3,0.3546857947815559,0.0,2884.4312537447636,3,1483,GTE-Qwen2,Phi-3.5
gteqwen_phi35,TRAM2,RAG,48.0,0.0,3,0.4164444432557621,0.0,7961.15666666667,3,3820,GTE-Qwen2,Phi-3.5
gteqwen_phi35,TRAM2,RAG+FSP,50.0,0.0,3,0.49802210979950273,0.0,8123.197666666666,3,3820,GTE-Qwen2,Phi-3.5
