dataset,method,s1,s2,within_retriever_family,mean_jaccard_dist,n_sentences
TRAM2,RAG,S0,S1,False,0.4718539640987285,3820
TRAM2,RAG,S0,S2,True,0.45386686611817506,3820
TRAM2,RAG,S0,S3,False,0.484769280312474,3820
TRAM2,RAG,S0,S5,True,0.4484573672400898,3820
TRAM2,RAG,S0,S4,False,0.4491074545001247,3820
TRAM2,RAG,S1,S2,False,0.47166417352281226,3820
TRAM2,RAG,S1,S3,True,0.45261312640239343,3820
TRAM2,RAG,S1,S5,False,0.45246073298429323,3820
TRAM2,RAG,S1,S4,True,0.45015270506108207,3820
TRAM2,RAG,S2,S3,False,0.33646274827557554,3820
TRAM2,RAG,S2,S5,True,0.40678446771378707,3820
TRAM2,RAG,S2,S4,False,0.4110165794066317,3820
TRAM2,RAG,S3,S5,False,0.4427661431064573,3820
TRAM2,RAG,S3,S4,True,0.4416641735228123,3820
TRAM2,RAG,S5,S4,False,0.1273123909249564,3820
TRAM2,RAG+FSP,S0,S1,False,0.3589282597855896,3820
TRAM2,RAG+FSP,S0,S2,True,0.4881653577661431,3820
TRAM2,RAG+FSP,S0,S3,False,0.5076785714285714,3820
TRAM2,RAG+FSP,S0,S5,True,0.34082897033158815,3820
TRAM2,RAG+FSP,S0,S4,False,0.35047743704811773,3820
TRAM2,RAG+FSP,S1,S2,False,0.5044972159893626,3820
TRAM2,RAG+FSP,S1,S3,True,0.48651770132136624,3820
TRAM2,RAG+FSP,S1,S5,False,0.37633071553228625,3820
TRAM2,RAG+FSP,S1,S4,True,0.37592931937172774,3820
TRAM2,RAG+FSP,S2,S3,False,0.393930752929444,3820
TRAM2,RAG+FSP,S2,S5,True,0.48342495636998256,3820
TRAM2,RAG+FSP,S2,S4,False,0.49898560209424087,3820
TRAM2,RAG+FSP,S3,S5,False,0.5018630017452007,3820
TRAM2,RAG+FSP,S3,S4,True,0.4862783595113438,3820
TRAM2,RAG+FSP,S5,S4,False,0.24506980802792322,3820
AnnoCTR,RAG,S0,S1,False,0.3764666217127445,1483
AnnoCTR,RAG,S0,S2,True,0.44240278714317827,1483
AnnoCTR,RAG,S0,S3,False,0.5054506630703529,1483
AnnoCTR,RAG,S0,S5,True,0.3144526859968533,1483
AnnoCTR,RAG,S0,S4,False,0.34013261407057765,1483
AnnoCTR,RAG,S1,S2,False,0.48110811418296245,1483
AnnoCTR,RAG,S1,S3,True,0.407630928298494,1483
AnnoCTR,RAG,S1,S5,False,0.3683749157113958,1483
AnnoCTR,RAG,S1,S4,True,0.35052820858619915,1483
AnnoCTR,RAG,S2,S3,False,0.40288828950325917,1483
AnnoCTR,RAG,S2,S5,True,0.4577770285457407,1483
AnnoCTR,RAG,S2,S4,False,0.4708361429534727,1483
AnnoCTR,RAG,S3,S5,False,0.5030905821532929,1483
AnnoCTR,RAG,S3,S4,True,0.4744436952124073,1483
AnnoCTR,RAG,S5,S4,False,0.1736345246122724,1483
AnnoCTR,RAG+FSP,S0,S1,False,0.20976623960440552,1483
AnnoCTR,RAG+FSP,S0,S2,True,0.4588109687570241,1483
AnnoCTR,RAG+FSP,S0,S3,False,0.4854236907170151,1483
AnnoCTR,RAG+FSP,S0,S5,True,0.22527534277365702,1483
AnnoCTR,RAG+FSP,S0,S4,False,0.25657451112609575,1483
AnnoCTR,RAG+FSP,S1,S2,False,0.4790402337603957,1483
AnnoCTR,RAG+FSP,S1,S3,True,0.451494717914138,1483
AnnoCTR,RAG+FSP,S1,S5,False,0.28320971004720163,1483
AnnoCTR,RAG+FSP,S1,S4,True,0.27596089008766017,1483
AnnoCTR,RAG+FSP,S2,S3,False,0.461416690749125,1483
AnnoCTR,RAG+FSP,S2,S5,True,0.4832546639694314,1483
AnnoCTR,RAG+FSP,S2,S4,False,0.5083726680152844,1483
AnnoCTR,RAG+FSP,S3,S5,False,0.5066644189705553,1483
AnnoCTR,RAG+FSP,S3,S4,True,0.46595864239154866,1483
AnnoCTR,RAG+FSP,S5,S4,False,0.26365475387727577,1483
